Time - Pre2	TTL signal - Pre2	Time - Pre	TTL signal - Pre	
2.37344	5.1368	2.79375	32.6108	
2.375	8.46698	2.79531	52.5919	
2.37656	-20.0477	2.79688	55.5058	
2.37813	-18.7989	2.79844	1.80662	
2.37969	-6.9351	2.8	27.8237	
2.38125	-5.06187	2.80156	23.6609	
2.38281	-8.18392	2.80313	38.8549	
2.38437	-13.5955	2.80469	45.099	
2.38594	-23.3779	2.80625	33.2352	
2.3875	-30.4545	2.80781	27.8237	
2.38906	-25.4592	2.80938	41.9769	
2.39063	-22.9616	2.81094	30.7376	
2.39219	-26.0836	2.8125	40.52	
2.39375	-11.5141	2.81406	34.0677	
2.39531	-27.5406	2.81563	33.0271	
2.39688	-4.85374	2.81719	27.4074	
2.39844	2.22289	2.81875	57.1709	
2.4	-23.3779	2.82031	31.1538	
2.40156	-7.76764	2.82188	17.8331	
2.40313	-13.3873	2.82344	36.1491	
2.40469	9.7158	2.825	55.922	
2.40625	-17.55	2.82656	2.63917	
2.40781	-10.8897	2.82813	40.1037	
2.40938	15.7518	2.82969	30.9457	
2.41094	-4.43746	2.83125	37.3979	
2.4125	-7.14324	2.83281	19.0819	
2.41406	-12.3466	2.83438	17.0006	
2.41563	-31.7033	2.83594	14.9192	
2.41719	12.6297	2.8375	15.1273	
2.41875	-15.4687	2.83906	12.8378	
2.42031	14.9192	2.84063	8.25885	
2.42188	-6.51883	2.84219	14.0867	
2.42344	17.8331	2.84375	23.4528	
2.425	-7.55951	2.84531	23.6609	
2.42656	-2.77237	2.84688	5.34494	
2.42813	-6.72696	2.84844	22.6202	
2.42969	-12.3466	2.85	3.26358	
2.43125	22.8284	2.85156	29.6969	
2.43281	10.1321	2.85313	20.9552	
2.43438	14.2948	2.85469	8.88325	
2.43594	4.30426	2.85625	8.67512	
2.4375	18.2494	2.85781	27.4074	
2.43906	13.8785	2.85938	8.05071	
2.44063	10.9646	2.86094	11.3809	
2.44219	-3.81306	2.8625	24.2853	
2.44375	-7.76764	2.86406	-0.27474	
2.44531	9.29953	2.86563	17.8331	
2.44688	-12.3466	2.86719	18.4575	
2.44844	-8.39205	2.86875	5.76121	
